model,stage,yes,graded
claude-haiku-4.5,output+cot,139,2689
claude-haiku-4.5,output-only,35,1184
claude-haiku-4.5,self-report,999,1280
claude-sonnet-4.5,output+cot,101,2622
claude-sonnet-4.5,output-only,10,2622
claude-sonnet-4.5,self-report,2415,2636
deepseek-v4-pro,output+cot,137,2619
deepseek-v4-pro,output-only,11,2619
deepseek-v4-pro,self-report,1233,2699
gemini-3.5-flash,output+cot,13,2686
gemini-3.5-flash,output-only,0,2335
gemini-3.5-flash,self-report,1324,2605
glm-5.3,output+cot,23,2684
glm-5.3,output-only,7,2685
glm-5.3,self-report,1553,2700
gpt-5,output+cot,2,2225
gpt-5,output-only,0,2233
gpt-5,self-report,947,2699
gpt-5.1,output+cot,1,1849
gpt-5.1,output-only,0,1853
gpt-5.1,self-report,915,2699
gpt-5.2,output+cot,0,2394
gpt-5.2,output-only,0,2397
gpt-5.2,self-report,1703,2700
gpt-5.4,output+cot,0,2443
gpt-5.4,output-only,0,2447
gpt-5.4,self-report,481,2700
gpt-5.6-sol,output+cot,0,2472
gpt-5.6-sol,output-only,0,2476
gpt-5.6-sol,self-report,304,2295
kimi-k3,output+cot,59,2681
kimi-k3,output-only,3,2681
kimi-k3,self-report,2277,2697
minimax-m3,output+cot,75,2683
minimax-m3,output-only,20,2688
minimax-m3,self-report,2090,2679
qwen3.8-2.4t,output+cot,47,2689
qwen3.8-2.4t,output-only,8,2681
qwen3.8-2.4t,self-report,2056,2698
