model,self_reported,bin_lo,bin_hi,frac,n
Qwen3.8-27B,aware,-4.0,-3.75,0.0,3679
Qwen3.8-27B,aware,-3.75,-3.5,0.0,3679
Qwen3.8-27B,aware,-3.5,-3.25,0.0,3679
Qwen3.8-27B,aware,-3.25,-3.0,0.0,3679
Qwen3.8-27B,aware,-3.0,-2.75,0.0,3679
Qwen3.8-27B,aware,-2.75,-2.5,0.0,3679
Qwen3.8-27B,aware,-2.5,-2.25,0.0,3679
Qwen3.8-27B,aware,-2.25,-2.0,0.0,3679
Qwen3.8-27B,aware,-2.0,-1.75,0.0,3679
Qwen3.8-27B,aware,-1.75,-1.5,0.0010872519706441968,3679
Qwen3.8-27B,aware,-1.5,-1.25,0.007610763794509377,3679
Qwen3.8-27B,aware,-1.25,-1.0,0.03506387605327534,3679
Qwen3.8-27B,aware,-1.0,-0.75,0.056265289480837186,3679
Qwen3.8-27B,aware,-0.75,-0.5,0.07366132101114434,3679
Qwen3.8-27B,aware,-0.5,-0.25,0.08942647458548518,3679
Qwen3.8-27B,aware,-0.25,0.0,0.0856210926882305,3679
Qwen3.8-27B,aware,0.0,0.25,0.07529219896711063,3679
Qwen3.8-27B,aware,0.25,0.5,0.06958412612122859,3679
Qwen3.8-27B,aware,0.5,0.75,0.08154389779831477,3679
Qwen3.8-27B,aware,0.75,1.0,0.08263114976895895,3679
Qwen3.8-27B,aware,1.0,1.25,0.08779559662951888,3679
Qwen3.8-27B,aware,1.25,1.5,0.07855395487904322,3679
Qwen3.8-27B,aware,1.5,1.75,0.06197336232671922,3679
Qwen3.8-27B,aware,1.75,2.0,0.05354715955422669,3679
Qwen3.8-27B,aware,2.0,2.25,0.04349007882576787,3679
Qwen3.8-27B,aware,2.25,2.5,0.01359064963305246,3679
Qwen3.8-27B,aware,2.5,2.75,0.0032617559119325905,3679
Qwen3.8-27B,aware,2.75,3.0,0.0,3679
Qwen3.8-27B,aware,3.0,3.25,0.0,3679
Qwen3.8-27B,aware,3.25,3.5,0.0,3679
Qwen3.8-27B,aware,3.5,3.75,0.0,3679
Qwen3.8-27B,aware,3.75,4.0,0.0,3679
Qwen3.8-27B,not aware,-4.0,-3.75,0.0,2380
Qwen3.8-27B,not aware,-3.75,-3.5,0.0,2380
Qwen3.8-27B,not aware,-3.5,-3.25,0.0,2380
Qwen3.8-27B,not aware,-3.25,-3.0,0.0,2380
Qwen3.8-27B,not aware,-3.0,-2.75,0.0,2380
Qwen3.8-27B,not aware,-2.75,-2.5,0.0,2380
Qwen3.8-27B,not aware,-2.5,-2.25,0.0,2380
Qwen3.8-27B,not aware,-2.25,-2.0,0.0,2380
Qwen3.8-27B,not aware,-2.0,-1.75,0.0008403361344537816,2380
Qwen3.8-27B,not aware,-1.75,-1.5,0.011764705882352941,2380
Qwen3.8-27B,not aware,-1.5,-1.25,0.07394957983193277,2380
Qwen3.8-27B,not aware,-1.25,-1.0,0.17563025210084032,2380
Qwen3.8-27B,not aware,-1.0,-0.75,0.17142857142857143,2380
Qwen3.8-27B,not aware,-0.75,-0.5,0.15084033613445377,2380
Qwen3.8-27B,not aware,-0.5,-0.25,0.1180672268907563,2380
Qwen3.8-27B,not aware,-0.25,0.0,0.09159663865546218,2380
Qwen3.8-27B,not aware,0.0,0.25,0.052941176470588235,2380
Qwen3.8-27B,not aware,0.25,0.5,0.05546218487394958,2380
Qwen3.8-27B,not aware,0.5,0.75,0.041176470588235294,2380
Qwen3.8-27B,not aware,0.75,1.0,0.031512605042016806,2380
Qwen3.8-27B,not aware,1.0,1.25,0.015546218487394958,2380
Qwen3.8-27B,not aware,1.25,1.5,0.005042016806722689,2380
Qwen3.8-27B,not aware,1.5,1.75,0.0025210084033613447,2380
Qwen3.8-27B,not aware,1.75,2.0,0.0008403361344537816,2380
Qwen3.8-27B,not aware,2.0,2.25,0.0,2380
Qwen3.8-27B,not aware,2.25,2.5,0.0008403361344537816,2380
Qwen3.8-27B,not aware,2.5,2.75,0.0,2380
Qwen3.8-27B,not aware,2.75,3.0,0.0,2380
Qwen3.8-27B,not aware,3.0,3.25,0.0,2380
Qwen3.8-27B,not aware,3.25,3.5,0.0,2380
Qwen3.8-27B,not aware,3.5,3.75,0.0,2380
Qwen3.8-27B,not aware,3.75,4.0,0.0,2380
GPT-OSS-20B,aware,-4.0,-3.75,0.0,713
GPT-OSS-20B,aware,-3.75,-3.5,0.0,713
GPT-OSS-20B,aware,-3.5,-3.25,0.0,713
GPT-OSS-20B,aware,-3.25,-3.0,0.0,713
GPT-OSS-20B,aware,-3.0,-2.75,0.0,713
GPT-OSS-20B,aware,-2.75,-2.5,0.0,713
GPT-OSS-20B,aware,-2.5,-2.25,0.004207573632538569,713
GPT-OSS-20B,aware,-2.25,-2.0,0.008415147265077139,713
GPT-OSS-20B,aware,-2.0,-1.75,0.004207573632538569,713
GPT-OSS-20B,aware,-1.75,-1.5,0.011220196353436185,713
GPT-OSS-20B,aware,-1.5,-1.25,0.028050490883590462,713
GPT-OSS-20B,aware,-1.25,-1.0,0.03225806451612903,713
GPT-OSS-20B,aware,-1.0,-0.75,0.03225806451612903,713
GPT-OSS-20B,aware,-0.75,-0.5,0.029453015427769985,713
GPT-OSS-20B,aware,-0.5,-0.25,0.04067321178120617,713
GPT-OSS-20B,aware,-0.25,0.0,0.05750350631136045,713
GPT-OSS-20B,aware,0.0,0.25,0.033660589060308554,713
GPT-OSS-20B,aware,0.25,0.5,0.043478260869565216,713
GPT-OSS-20B,aware,0.5,0.75,0.0364656381486676,713
GPT-OSS-20B,aware,0.75,1.0,0.06311360448807854,713
GPT-OSS-20B,aware,1.0,1.25,0.07012622720897616,713
GPT-OSS-20B,aware,1.25,1.5,0.05329593267882188,713
GPT-OSS-20B,aware,1.5,1.75,0.07713884992987377,713
GPT-OSS-20B,aware,1.75,2.0,0.08274894810659186,713
GPT-OSS-20B,aware,2.0,2.25,0.07573632538569425,713
GPT-OSS-20B,aware,2.25,2.5,0.08274894810659186,713
GPT-OSS-20B,aware,2.5,2.75,0.05049088359046283,713
GPT-OSS-20B,aware,2.75,3.0,0.033660589060308554,713
GPT-OSS-20B,aware,3.0,3.25,0.019635343618513323,713
GPT-OSS-20B,aware,3.25,3.5,0.015427769985974754,713
GPT-OSS-20B,aware,3.5,3.75,0.012622720897615708,713
GPT-OSS-20B,aware,3.75,4.0,0.001402524544179523,713
GPT-OSS-20B,not aware,-4.0,-3.75,0.0,4282
GPT-OSS-20B,not aware,-3.75,-3.5,0.0,4282
