model,pdv_d,self_reported
Qwen3.8-27B,-1.1670995950698853,not aware
Qwen3.8-27B,-1.1140918731689453,not aware
Qwen3.8-27B,-1.2956002950668335,not aware
Qwen3.8-27B,-0.9596975445747375,not aware
Qwen3.8-27B,-0.9591920375823975,not aware
Qwen3.8-27B,-0.8987123370170593,not aware
Qwen3.8-27B,-1.1349784135818481,not aware
Qwen3.8-27B,-1.0461210012435913,not aware
Qwen3.8-27B,-1.2049881219863892,aware
Qwen3.8-27B,0.12279193103313446,aware
Qwen3.8-27B,-0.5212723016738892,not aware
Qwen3.8-27B,-0.4242972731590271,aware
Qwen3.8-27B,-0.5997070670127869,aware
Qwen3.8-27B,-0.002877830993384123,aware
Qwen3.8-27B,-0.665151834487915,aware
Qwen3.8-27B,-0.08754482865333557,not aware
Qwen3.8-27B,-0.21981912851333618,aware
Qwen3.8-27B,-0.6235349178314209,not aware
Qwen3.8-27B,-0.8143067955970764,not aware
Qwen3.8-27B,1.006897211074829,aware
Qwen3.8-27B,0.3851799964904785,not aware
Qwen3.8-27B,-1.3259366750717163,not aware
Qwen3.8-27B,-1.2741169929504395,aware
Qwen3.8-27B,-1.3677185773849487,not aware
Qwen3.8-27B,-0.9095271825790405,not aware
Qwen3.8-27B,-1.3062522411346436,not aware
Qwen3.8-27B,-1.407435417175293,not aware
Qwen3.8-27B,-1.2155768871307373,not aware
Qwen3.8-27B,-0.4708329141139984,not aware
Qwen3.8-27B,-1.3679397106170654,not aware
Qwen3.8-27B,0.22897231578826904,not aware
Qwen3.8-27B,-0.9764605164527893,not aware
Qwen3.8-27B,-0.9898398518562317,not aware
Qwen3.8-27B,-1.0917518138885498,not aware
Qwen3.8-27B,-0.7365229725837708,not aware
Qwen3.8-27B,-1.1566473245620728,not aware
Qwen3.8-27B,-0.43070974946022034,not aware
Qwen3.8-27B,-0.22494138777256012,not aware
Qwen3.8-27B,-0.5005021095275879,not aware
Qwen3.8-27B,-0.9722996950149536,not aware
Qwen3.8-27B,1.7461010217666626,aware
Qwen3.8-27B,0.4895887076854706,not aware
Qwen3.8-27B,-1.2358663082122803,not aware
Qwen3.8-27B,-1.0424240827560425,aware
Qwen3.8-27B,-1.2727946043014526,not aware
Qwen3.8-27B,-0.8916683793067932,not aware
Qwen3.8-27B,-1.0508698225021362,not aware
Qwen3.8-27B,-1.1876087188720703,not aware
Qwen3.8-27B,-1.1674822568893433,not aware
Qwen3.8-27B,-0.8732897043228149,not aware
Qwen3.8-27B,-1.0205790996551514,aware
Qwen3.8-27B,0.3605882227420807,aware
Qwen3.8-27B,-0.389960914850235,aware
Qwen3.8-27B,-0.2892010509967804,aware
Qwen3.8-27B,-0.39073726534843445,aware
Qwen3.8-27B,-0.15877746045589447,aware
Qwen3.8-27B,-0.4172889292240143,aware
Qwen3.8-27B,-0.10278306156396866,aware
Qwen3.8-27B,-0.13903100788593292,aware
Qwen3.8-27B,-0.30281463265419006,aware
Qwen3.8-27B,-0.42104214429855347,aware
Qwen3.8-27B,2.069958209991455,aware
Qwen3.8-27B,1.3411993980407715,aware
Qwen3.8-27B,-1.1187348365783691,not aware
Qwen3.8-27B,-1.1048399209976196,not aware
Qwen3.8-27B,-1.0391732454299927,not aware
Qwen3.8-27B,-0.6113623976707458,not aware
Qwen3.8-27B,-0.934517502784729,not aware
Qwen3.8-27B,-0.8267397284507751,not aware
Qwen3.8-27B,-0.9767888188362122,not aware
Qwen3.8-27B,-0.6835391521453857,not aware
Qwen3.8-27B,-1.0818527936935425,aware
Qwen3.8-27B,0.5969647765159607,aware
Qwen3.8-27B,-0.5693178772926331,not aware
Qwen3.8-27B,-0.5938760638237,aware
Qwen3.8-27B,-0.6269757151603699,aware
Qwen3.8-27B,-0.24882368743419647,aware
Qwen3.8-27B,-0.8279765844345093,aware
Qwen3.8-27B,-0.4992507994174957,not aware
Qwen3.8-27B,-0.4093887209892273,aware
Qwen3.8-27B,-0.5545993447303772,not aware
Qwen3.8-27B,-0.7094647288322449,not aware
Qwen3.8-27B,1.517401099205017,aware
Qwen3.8-27B,0.5736285448074341,aware
Qwen3.8-27B,-1.3912885189056396,not aware
Qwen3.8-27B,-1.1212267875671387,aware
Qwen3.8-27B,-1.2187060117721558,not aware
Qwen3.8-27B,-1.0782321691513062,not aware
Qwen3.8-27B,-1.062800645828247,not aware
Qwen3.8-27B,-1.3353536128997803,not aware
Qwen3.8-27B,-1.217739224433899,not aware
Qwen3.8-27B,-0.7661101222038269,not aware
Qwen3.8-27B,-1.3957628011703491,not aware
Qwen3.8-27B,0.5136890411376953,aware
Qwen3.8-27B,-1.1904748678207397,not aware
Qwen3.8-27B,-0.9681751132011414,aware
Qwen3.8-27B,-1.0709164142608643,aware
Qwen3.8-27B,-0.6548043489456177,aware
Qwen3.8-27B,-1.1466699838638306,not aware
Qwen3.8-27B,-0.3704843819141388,aware
Qwen3.8-27B,-0.8728711605072021,aware
Qwen3.8-27B,-0.52528315782547,aware
Qwen3.8-27B,-1.1696439981460571,aware
Qwen3.8-27B,1.9688862562179565,aware
Qwen3.8-27B,0.1562454253435135,aware
Qwen3.8-27B,-0.7172960042953491,not aware
Qwen3.8-27B,-0.6706374287605286,not aware
Qwen3.8-27B,-0.6736070513725281,not aware
Qwen3.8-27B,-0.48402372002601624,not aware
Qwen3.8-27B,-0.6524035334587097,not aware
Qwen3.8-27B,-0.4098413288593292,not aware
Qwen3.8-27B,-0.5678718686103821,not aware
